permalink,api_path,web_path,api_url,first_name,last_name,gender,title,organization_permalink,organization_api_path,organization_web_path,organization_name,profile_image_url,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
dr-tasaria-bettis,people/dr-tasaria-bettis,person/dr-tasaria-bettis,https://api.crunchbase.com/v3.1/people/dr-tasaria-bettis,Tasaria,Bettis Ed.D.,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/jzpsvqdxpp3qkfthbnln,http://www.drtasariabettis.com,,https://twitter.com/Bettis_EdD,https://www.linkedin.com/in/drtbettis/,Dayton,Ohio,United States,1597859398,1598880469
hannes-plinte,people/hannes-plinte,person/hannes-plinte,https://api.crunchbase.com/v3.1/people/hannes-plinte,Hannes,Plinte,Male,CEO,goswift,organizations/goswift,organization/goswift,GoSwift,http://public.crunchbase.com/t_api_images/ctoguxryiue5iewfbcbl,,,,https://www.linkedin.com/in/hannesplinte/,Tallinn,Harjumaa,Estonia,1419504066,1598879910
geneviève-bouthillier,people/geneviève-bouthillier,person/geneviève-bouthillier,https://api.crunchbase.com/v3.1/people/geneviève-bouthillier,Geneviève,Bouthillier,,,,organizations/,organization/,,,,,,,,,,1598879745,1598879745
bernadette-aulestia,people/bernadette-aulestia,person/bernadette-aulestia,https://api.crunchbase.com/v3.1/people/bernadette-aulestia,Bernadette,Aulestia,Female,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/mjifrrm5sakysdr1bynj,,,https://twitter.com/BernyAulestia,http://linkedin.com/in/bernadetteaulestia,New York,New York,United States,1598879214,1598879214
ullekh-niraula,people/ullekh-niraula,person/ullekh-niraula,https://api.crunchbase.com/v3.1/people/ullekh-niraula,Ullekh,Niraula,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/vhtpxfwrllvjxaptg78u,,,,https://www.linkedin.com/in/ullekh-niraula-b46091115,,,,1598879180,1598879180
leon-kraversky,people/leon-kraversky,person/leon-kraversky,https://api.crunchbase.com/v3.1/people/leon-kraversky,Leon,Kraversky,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/nbr3ykcl5pgb4cjsn5ee,https://www.soltell.com,,https://twitter.com/leonkraversky,https://www.linkedin.com/in/leonkraversky/,Ra'anana,HaMerkaz,Israel,1541597196,1598879070
sebastián-ferreras,people/sebastián-ferreras,person/sebastián-ferreras,https://api.crunchbase.com/v3.1/people/sebastián-ferreras,Sebastián,Ferreras,,,,organizations/,organization/,,,,,,,,,,1598878815,1598878815
juan-ferreras,people/juan-ferreras,person/juan-ferreras,https://api.crunchbase.com/v3.1/people/juan-ferreras,Juan,Ferreras,Male,,,organizations/,organization/,,,,,,,,,,1598878815,1598878815
ishaan-seth,people/ishaan-seth,person/ishaan-seth,https://api.crunchbase.com/v3.1/people/ishaan-seth,Ishaan,Seth,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/xzasxd95cuusvrneyv7d,https://www.qwikfone.com/,,,,London,England,United Kingdom,1588338190,1598878735
sergio-fogel-efad,people/sergio-fogel-efad,person/sergio-fogel-efad,https://api.crunchbase.com/v3.1/people/sergio-fogel-efad,Sergio,Fogel,,,,organizations/,organization/,,,,,,,,,,1598878516,1598878516
